CompanyID;OrderNbr;CustomerID;DateCreated;DateCompleted;Status;Hold;Description;DeviceID;ServiceID;OrderTotal;RepairItemLineCntr;Assignee;Priority;InvoiceNbr;CreatedByID;CreatedByScreenID;CreatedDateTime;LastModifiedByID;LastModifiedByScreenID;LastModifiedDateTime;tstamp;NoteID
2;000001;5441;2019-08-21 08:00:00;2019-12-20 05:00:00;CM;0;Battery replacement, Nokia 3310;1;1;40.0000;3;55DECA6A-D50C-4687-8C48-D0D15B5B2606;M;NULL;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;00000000;2019-12-19 11:11:45.167;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-20 09:35:16.377;0x000000000004D1B9;37D45F56-5022-EA11-9FF3-4CCC6A8EEFEA
2;000002;5441;2019-08-21 08:00:00;2019-12-20 05:00:00;CM;0;Screen repair, Samsung Galaxy S4;3;3;50.0000;2;84725B26-7E98-4C54-A459-CA01D9674D02;M;NULL;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;00000000;2019-12-19 11:11:45.180;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-20 09:35:22.983;0x000000000004D1BA;38D45F56-5022-EA11-9FF3-4CCC6A8EEFEA
2;000003;5441;2019-08-21 08:00:00;NULL;PP;0;Liquid damage, Nokia 3310;1;2;50.0000;3;NULL;M;NULL;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;00000000;2019-12-19 11:11:45.190;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;00000000;2019-12-19 11:11:45.293;0x000000000004CD5A;39D45F56-5022-EA11-9FF3-4CCC6A8EEFEA
2;000004;5441;2019-08-22 08:00:00;NULL;OH;1;Screen repair, iPhone 6;4;3;0.0000;0;NULL;M;NULL;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;00000000;2019-12-19 11:11:45.197;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;00000000;2019-12-19 11:11:45.197;0x000000000004CD50;3AD45F56-5022-EA11-9FF3-4CCC6A8EEFEA
2;000005;5441;2019-12-19 05:00:00;2019-12-19 05:00:00;PD;0;NULL;1;1;35.0000;2;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;M;INV000048;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-19 11:30:37.777;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;AR302000;2019-12-19 12:21:08.060;0x000000000004CF6F;339C04EA-5222-EA11-9FF3-4CCC6A8EEFEA
2;000006;5441;2019-12-19 05:00:00;2019-12-19 05:00:00;CM;0;NULL;1;1;35.0000;2;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;M;INV000049;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-19 12:10:07.060;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-19 12:10:26.230;0x000000000004CE19;B631325D-5822-EA11-9FF3-4CCC6A8EEFEA
2;000007;5441;2019-12-19 05:00:00;2019-12-19 05:00:00;PD;0;NULL;1;2;50.0000;3;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;M;INV000050;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-19 13:12:02.927;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;AR302000;2019-12-19 13:14:53.513;0x000000000004D06A;C18EC01C-6122-EA11-9FF3-4CCC6A8EEFEA
2;000008;5441;2019-12-19 05:00:00;2019-12-20 05:00:00;CM;0;Battery replacement, Nokia 3310;1;1;35.0000;2;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;M;NULL;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-19 13:54:00.390;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-20 09:35:30.227;0x000000000004D1BB;04F37EA9-6622-EA11-9FF3-4CCC6A8EEFEA
2;000009;5441;2019-12-19 05:00:00;2019-12-20 05:00:00;CM;0;Battery replacement, Nokia 3310;1;1;35.0000;2;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;M;NULL;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-19 14:24:10.060;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-20 09:35:35.490;0x000000000004D1BC;3F596428-6B22-EA11-9FF3-4CCC6A8EEFEA
2;000010;5441;2019-12-20 05:00:00;2019-12-20 05:00:00;CM;0;Test order;1;1;35.0000;2;55DECA6A-D50C-4687-8C48-D0D15B5B2606;H;NULL;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-20 08:31:19.710;B5344897-037E-4D58-B5C3-1BDFD0F47BF9;RS301000;2019-12-20 09:35:40.490;0x000000000004D1BD;5673F900-0323-EA11-9FF3-4CCC6A8EEFEA
